task,cell,framing,feature_set,n_features,classifier,weighted,n_train,n_pos,n_neg,base_rate,pr_auc_mean,pr_auc_std,pr_auc_minority_mean,pr_auc_minority_std,recall_at_prec90_mean,recall_at_prec90_std,precision_at_recall50_mean,precision_at_recall50_std,logloss_mean,logloss_std,brier_mean,brier_std,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_at_op_mean,balanced_accuracy_at_op_std,oof_pr_auc,chosen_C,seconds
filter,OpenCell/protein/6b,A_model1_filter,MEANPOOL,2560,logreg,True,1757,1310,447,0.7455890722822994,0.8946408457750346,0.0153421093263526,0.5744207660460909,0.0763078620784487,0.5572519083969466,0.1896335933173994,0.9178480406247006,0.0259199944888848,0.5418901205062866,0.0146633972985541,0.1815643280744552,0.0054485092559131,0.7085097826190545,0.0273586308702615,0.6901240815392973,0.0627293120712336,0.8935241509387403,"0.001,0.001,0.001,0.001,0.001",3.4933526515960693
filter,OpenCell/protein/6b,A_model1_filter,MEANPOOL,2560,xgboost,False,1757,1310,447,0.7455890722822994,0.8909902217990762,0.0197016153568071,0.5569752253654536,0.0551392947199928,0.4725190839694656,0.2296809440347143,0.9078165513048884,0.0103725902678549,0.5232391655445099,0.0376709660347476,0.1602740764617919,0.0117408706684088,0.6376536009377591,0.0326271495987824,0.6600797667038341,0.0779100541865548,0.8902498360046762,,37.250980615615845
filter,OpenCell/protein/6b,A_model1_filter,MEANPOOL,2560,xgboost,True,1757,1310,447,0.7455890722822994,0.8880401387873469,0.0165162101994461,0.550391982290078,0.0605748750902724,0.5381679389312978,0.0697022227776705,0.907646041035206,0.0101600857688673,0.5038622438907623,0.0271353695808527,0.1613159239292144,0.0112548696124199,0.6656193117381899,0.0373592117206966,0.6829416473682706,0.0247193379505222,0.8878409422161568,,35.84103608131409
filter,OpenCell/protein/6b,A_model1_filter,TERMINAL,7680,logreg,False,1757,1310,447,0.7455890722822994,0.8962553867487936,0.0133755309747957,0.6046976674358463,0.072869961106609,0.5900763358778626,0.1169148203980841,0.9193723933128752,0.0196132530110519,0.4633744657039642,0.0251878772321349,0.1465678691864013,0.0111317597366831,0.6677550962060782,0.0429513080966342,0.6999070817966092,0.0384062090308835,0.8954244794325965,"0.001,0.001,0.001,0.001,0.001",11.517011404037476
filter,OpenCell/protein/6b,A_model1_filter,TERMINAL,7680,logreg,True,1757,1310,447,0.7455890722822994,0.8944534716977772,0.0129261033266936,0.6008394607320442,0.0722019073182023,0.5641221374045802,0.121101282641037,0.9176266026588348,0.0177343464995831,0.5066027224063874,0.0215630183814389,0.1653544723987579,0.0089882346827587,0.7141539678455366,0.028537518716686,0.692522991299044,0.0399049427344011,0.8935039909701926,"0.001,0.001,0.001,0.001,0.001",11.088524580001833
filter,OpenCell/protein/6b,A_model1_filter,TERMINAL,7680,xgboost,False,1757,1310,447,0.7455890722822994,0.8976635715041954,0.013497266371456,0.5751452883305651,0.0754210621362922,0.599236641221374,0.0651655384693277,0.9182942686762052,0.007731828928193,0.519616574048996,0.0450406896654914,0.1585641086101532,0.0156896632597084,0.6235588148402283,0.0389705305225737,0.7045496564408993,0.0224907381467038,0.8957239304765655,,133.53601741790771
filter,OpenCell/protein/6b,A_model1_filter,TERMINAL,7680,xgboost,True,1757,1310,447,0.7455890722822994,0.9021196505507204,0.0163826318364892,0.5881931187456985,0.0652344314981224,0.6290076335877862,0.0898933968424509,0.9183317849933996,0.0141211851052193,0.4765123605728149,0.0295550757478874,0.1513778984546661,0.0103624998303802,0.6931192879130095,0.0328995631823938,0.7137672375179881,0.0296928595284001,0.8997332815921312,,132.96696496009827
filter,OpenCell/protein+tag/6b,B_construct,MEANPOOL,2560,logreg,False,1757,1310,447,0.7455890722822994,0.8976151055243402,0.0172560766517183,0.589420280355773,0.0766979717575783,0.5854961832061069,0.1690326977559949,0.9229640277065152,0.0270339149108483,0.4632163226604461,0.0289791477849208,0.1487458646297454,0.0118280355064949,0.6439849996664475,0.0511111743871089,0.6997892901049261,0.0569009360993153,0.8952447713481251,"0.001,0.001,0.001,0.001,0.001",3.5577328205108643
filter,OpenCell/protein+tag/6b,B_construct,MEANPOOL,2560,logreg,True,1757,1310,447,0.7455890722822994,0.8963472589836158,0.0163373501451732,0.5852538158092735,0.0787635447491138,0.5786259541984733,0.1772365550812893,0.9226511365518466,0.0271512245643732,0.5382339715957641,0.0197333556199324,0.17993024289608,0.0074921797668687,0.7149804157017469,0.026964207282334,0.6963541756011093,0.0595388806739887,0.8933092775500439,"0.001,0.001,0.001,0.001,0.001",3.4999959468841557
filter,OpenCell/protein+tag/6b,B_construct,MEANPOOL,2560,xgboost,False,1757,1310,447,0.7455890722822994,0.8861556952434245,0.0157388124140938,0.5520215377434046,0.0697668426740377,0.4717557251908397,0.1860388506098949,0.9109640334999692,0.0142816224031368,0.5336664974689483,0.0404930293920936,0.1622583925724029,0.0154018658174417,0.6264141197548866,0.0471798796759888,0.6597355404980416,0.0626637266623784,0.8847320854041629,,36.74419641494751
filter,OpenCell/protein+tag/6b,B_construct,MEANPOOL,2560,xgboost,True,1757,1310,447,0.7455890722822994,0.884804180636106,0.0171536353077695,0.5449219928237609,0.0708655843194974,0.5206106870229008,0.208209517817583,0.9045680627208308,0.0209608748600118,0.5116179525852204,0.0369437443539159,0.1631253898143768,0.012925808976121,0.6686637885848795,0.0458213326121643,0.6763103372692532,0.0695042850165063,0.8829268287620349,,35.36233353614807
